Frame No,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
20,2,917.482,160.033,957.683,162.58,960.105,195.537,918.188,193.282,0.7167828125,0.7777319444,0.7481898438,0.7741944444,0.7500820313,0.7284208333,0.717334375,0.7315527778
20,3,419.676,417.811,459.642,418.242,461.156,449.76,422.394,448.575,0.327871875,0.4197069444,0.3590953125,0.4191083333,0.360278125,0.3753333333,0.3299953125,0.3769791667
20,4,917.318,416.444,957.906,415.408,955.496,446.871,915.391,448.842,0.7166546875,0.4216055556,0.7483640625,0.4230444444,0.74648125,0.3793458333,0.7151492188,0.3766083333
21,1,410,173.315,450,169.285,450,201.616,410,205.019,0.3203125,0.7592847222,0.3515625,0.7648819444,0.3515625,0.7199777778,0.3203125,0.7152513889
21,4,917.346,416.175,958.322,414.754,955.569,446.785,916.068,447.852,0.7166765625,0.4219791667,0.7486890625,0.4239527778,0.7465382813,0.3794652778,0.715678125,0.3779833333
22,1,411,172.387,451,168.491,451,200.765,411,204.273,0.32109375,0.7605736111,0.35234375,0.7659847222,0.35234375,0.7211597222,0.32109375,0.7162875
22,2,917.805,159.017,958.943,161.39,960.381,194.289,919.294,192.019,0.7170351563,0.7791430556,0.7491742188,0.7758472222,0.7502976563,0.7301541667,0.7181984375,0.7333069444
22,3,420.444,415.848,459.968,417.253,462.473,448.469,423.238,446.776,0.328471875,0.4224333333,0.35935,0.4204819444,0.3613070313,0.3771263889,0.3306546875,0.3794777778
22,4,918.529,415.224,958.632,414.274,956.321,446.192,916.417,447.29,0.7176007813,0.4233,0.74893125,0.4246194444,0.7471257813,0.3802888889,0.7159507813,0.3787638889
23,1,410.925,171.903,452.051,167.704,451.879,199.978,411.78,203.438,0.3210351563,0.7612458333,0.3531648438,0.7670777778,0.3530304688,0.7222527778,0.321703125,0.7174472222
23,3,421.593,415.179,460.955,416.488,462.554,447.241,423.568,446.684,0.3293695313,0.4233625,0.3601210938,0.4215444444,0.3613703125,0.3788319444,0.3309125,0.3796055556
23,4,919.153,414.849,959.154,413.765,957.146,445.222,916.93,446.826,0.7180882813,0.4238208333,0.7493390625,0.4253263889,0.7477703125,0.3816361111,0.7163515625,0.3794083333
24,1,412,171.117,451.94,167.498,452.123,199.716,412,203.108,0.321875,0.7623375,0.353078125,0.7673638889,0.3532210938,0.7226166667,0.321875,0.7179055556
24,2,919.079,157.975,959.852,160.327,962.025,193.485,920.375,191.099,0.7180304688,0.7805902778,0.749884375,0.7773236111,0.7515820313,0.7312708333,0.7190429688,0.7345847222
24,3,421.797,414.968,461.691,415.582,463.418,447.422,424.211,445.831,0.3295289063,0.4236555556,0.3606960938,0.4228027778,0.3620453125,0.3785805556,0.3314148438,0.3807902778
24,4,919.394,414.172,959.585,413.629,957.549,444.785,917.574,446.77,0.7182765625,0.4247611111,0.7496757813,0.4255152778,0.7480851563,0.3822430556,0.7168546875,0.3794861111
25,1,412.065,171.098,452.188,167.519,452.188,199.778,412.182,203.073,0.3219257813,0.7623638889,0.353271875,0.7673347222,0.353271875,0.7225305556,0.3220171875,0.7179541667
25,2,919.275,158.054,960.297,160.427,962.103,193.444,920.928,191.129,0.7181835938,0.7804805556,0.7502320313,0.7771847222,0.7516429688,0.7313277778,0.719475,0.7345430556
25,3,422.046,414.932,461.8,415.72,463.806,447.212,424.516,446.019,0.3297234375,0.4237055556,0.36078125,0.4226111111,0.3623484375,0.3788722222,0.331653125,0.3805291667
25,4,919.425,414.407,959.682,413.83,957.594,444.78,917.641,446.957,0.7183007813,0.4244347222,0.7497515625,0.4252361111,0.7481203125,0.38225,0.7169070313,0.3792263889
26,1,413,171.291,453.38,167.467,452.609,199.609,413,203.269,0.32265625,0.7620958333,0.354203125,0.7674069444,0.3536007813,0.7227652778,0.32265625,0.7176819444
26,4,919.97,414.919,960.205,413.749,958.007,444.897,918.165,446.792,0.7187265625,0.4237236111,0.7501601563,0.4253486111,0.7484429688,0.3820875,0.7173164063,0.3794555556
27,1,413,170.819,453.129,167.062,453.129,199.353,413,202.604,0.32265625,0.7627513889,0.3540070313,0.7679694444,0.3540070313,0.7231208333,0.32265625,0.7186055556
27,2,919.915,157.925,961.402,160.549,962.452,193.408,921.85,191.076,0.7186835938,0.7806597222,0.7510953125,0.7770152778,0.751915625,0.7313777778,0.7201953125,0.7346166667
27,3,422.857,415,462.591,415,464.576,446.659,425.318,444.891,0.3303570313,0.4236111111,0.3613992188,0.4236111111,0.36295,0.3796402778,0.3322796875,0.3820958333
27,4,920.324,414.349,960.382,413.093,958.663,444.666,918.436,446.081,0.719003125,0.4245152778,0.7502984375,0.4262597222,0.7489554688,0.3824083333,0.717528125,0.3804430556
28,1,414,169.484,454.118,165.577,453.945,198.015,414,201.223,0.3234375,0.7646055556,0.3547796875,0.7700319444,0.3546445313,0.7249791667,0.3234375,0.7205236111
28,3,423.271,412.908,462.668,413.045,464.883,444.677,425.506,442.891,0.3306804688,0.4265166667,0.361459375,0.4263263889,0.3631898438,0.3823930556,0.3324265625,0.3848736111
28,4,922.243,412.213,960.605,411.713,958.749,442.675,918.321,444.239,0.7205023438,0.4274819444,0.7504726563,0.4281763889,0.7490226563,0.3851736111,0.7174382813,0.3830013889
29,1,414.11,166.481,454.121,162.668,453.938,194.817,413.782,198.182,0.3235234375,0.7687763889,0.3547820313,0.7740722222,0.3546390625,0.7294208333,0.3232671875,0.7247472222
29,2,920.274,153.775,961.684,156.827,963.144,189.417,922.279,186.37,0.7189640625,0.7864236111,0.751315625,0.7821847222,0.75245625,0.7369208333,0.7205304688,0.7411527778
