Frame No.,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
27,1,449.874,155.763,489.788,151.483,490.971,183.755,450.053,187.355,0.3514640625,0.7836625,0.382646875,0.7896069444,0.3835710938,0.7447847222,0.3516039063,0.7397847222
27,2,956.573,141.807,996.685,144.441,998.89,177.244,958.368,174.561,0.7473226563,0.8030458333,0.7786601563,0.7993875,0.7803828125,0.7538277778,0.748725,0.7575541667
27,3,461.239,400,501.621,400,503.479,431.135,464.013,430.854,0.3603429688,0.4444444444,0.3918914063,0.4444444444,0.3933429688,0.4012013889,0.3625101563,0.4015916667
27,4,958.607,398.5,998.243,398.381,996.047,429.517,956.576,430.998,0.7489117188,0.4465277778,0.7798773438,0.4466930556,0.7781617188,0.4034486111,0.747325,0.4013916667
28,1,450.585,156.168,490.74,151.847,491.668,184.312,451.023,187.583,0.3520195313,0.7831,0.383390625,0.7891013889,0.384115625,0.7440111111,0.3523617188,0.7394680556
28,2,957.014,142.055,997.678,145.021,999.322,177.579,959.052,175.152,0.7476671875,0.8027013889,0.7794359375,0.7985819444,0.7807203125,0.7533625,0.749259375,0.7567333333
28,3,461.889,400.058,501.715,400.955,504.285,432.326,464.356,430.962,0.3608507813,0.4443638889,0.3919648438,0.4431180556,0.3939726563,0.3995472222,0.362778125,0.4014416667
28,4,959.336,399.095,998.491,398.952,996.806,430.33,957.214,431.26,0.74948125,0.4457013889,0.7800710938,0.4459,0.7787546875,0.4023194444,0.7478234375,0.4010277778
29,1,450.908,156.344,492,152.379,492,184.523,451.213,188.307,0.352271875,0.7828555556,0.384375,0.7883625,0.384375,0.7437180556,0.3525101563,0.7384625
29,2,957.669,142.779,997.984,145.427,1000.18,178.054,959.522,175.773,0.7481789063,0.8016958333,0.779675,0.7980180556,0.781390625,0.7527027778,0.7496265625,0.7558708333
29,4,959.386,399.425,999.313,398.816,997.205,430.852,958.084,431.586,0.7495203125,0.4452430556,0.7807132813,0.4460888889,0.7790664063,0.4015944444,0.748503125,0.400575
30,1,451.76,156.348,491.811,151.99,492.442,184.575,452.106,187.811,0.3529375,0.78285,0.3842273438,0.7889027778,0.3847203125,0.7436458333,0.3532078125,0.7391513889
30,2,958.313,142.596,998.629,145.441,1000.61,177.982,960.412,175.468,0.7486820313,0.80195,0.7801789063,0.7979986111,0.7817265625,0.7528027778,0.750321875,0.7562944444
30,3,463.245,400,502.892,400,505.307,431.977,465.31,430.66,0.3619101563,0.4444444444,0.392884375,0.4444444444,0.3947710938,0.4000319444,0.3635234375,0.4018611111
30,4,960.515,399,1000.09,399,997.525,430.885,958.292,430.974,0.7504023438,0.4458333333,0.7813203125,0.4458333333,0.7793164063,0.4015486111,0.748665625,0.401425
31,1,451.948,155.891,492.221,151.653,493.03,183.907,452.114,187.535,0.353084375,0.7834847222,0.3845476563,0.7893708333,0.3851796875,0.7445736111,0.3532140625,0.7395347222
31,2,958.861,142.217,998.979,145.034,1000.93,177.657,960.496,175.052,0.7491101563,0.8024763889,0.7804523438,0.7985638889,0.7819765625,0.7532541667,0.7503875,0.7568722222
31,3,463.273,400.113,503.622,400.816,505.164,431.409,465.613,430.816,0.3619320313,0.4442875,0.3934546875,0.4433111111,0.394659375,0.4008208333,0.3637601563,0.4016444444
31,4,960.415,399.041,1000.15,398.903,997.871,430.551,958.868,431.254,0.7503242188,0.4457763889,0.7813671875,0.4459680556,0.7795867188,0.4020125,0.749115625,0.4010361111
32,1,452,156.021,492.54,151.727,493.16,183.912,452,187.677,0.353125,0.7833041667,0.384796875,0.7892680556,0.38528125,0.7445666667,0.353125,0.7393375
32,2,959.052,142.34,998.921,145.32,1001.28,177.612,960.44,175.759,0.749259375,0.8023055556,0.7804070313,0.7981666667,0.78225,0.7533166667,0.75034375,0.7558902778
32,4,960.418,399.07,1000.19,398.977,997.926,430.869,958.478,431.135,0.7503265625,0.4457361111,0.7813984375,0.4458652778,0.7796296875,0.4015708333,0.7488109375,0.4012013889
33,1,452,156.289,492.462,152.201,493.098,184.675,452,187.983,0.353125,0.7829319444,0.3847359375,0.7886097222,0.3852328125,0.7435069444,0.353125,0.7389125
33,2,958.945,142.831,998.886,145.537,1001.15,178.151,960.396,175.971,0.7491757813,0.8016236111,0.7803796875,0.7978652778,0.7821484375,0.7525680556,0.750309375,0.7555958333
33,4,960.356,400.103,1000.24,399.055,997.758,430.764,958.422,432.063,0.750278125,0.4443013889,0.7814375,0.4457569444,0.7794984375,0.4017166667,0.7487671875,0.3999125
34,1,452,157.016,492.646,152.5,493.135,185.069,452,188.566,0.353125,0.7819222222,0.3848796875,0.7881944444,0.3852617188,0.7429597222,0.353125,0.7381027778
34,2,958.655,143.433,998.938,146.29,1001.2,178.879,960.467,176.566,0.7489492188,0.8007875,0.7804203125,0.7968194444,0.7821875,0.7515569444,0.7503648438,0.7547694444
34,3,463.138,400.862,503.395,401.142,505.14,433.212,465.267,431.67,0.3618265625,0.4432472222,0.3932773438,0.4428583333,0.394640625,0.3983166667,0.3634898438,0.4004583333
34,4,960.353,400.368,1000.28,399.733,997.747,431.441,958.536,432.916,0.7502757813,0.4439333333,0.78146875,0.4448152778,0.7794898438,0.4007763889,0.74885625,0.3987277778
35,1,452,157.286,492.91,153.209,493.034,185.481,452,189.172,0.353125,0.7815472222,0.3850859375,0.7872097222,0.3851828125,0.7423875,0.353125,0.7372611111
35,2,958.79,143.715,999.071,146.972,1001.2,179.532,960.488,176.985,0.7490546875,0.8003958333,0.7805242188,0.7958722222,0.7821875,0.75065,0.75038125,0.7541875
35,3,463.045,401.241,503.549,402.187,505.099,433.267,465.512,432.46,0.3617539063,0.4427208333,0.3933976563,0.4414069444,0.3946085938,0.3982402778,0.36368125,0.3993611111
35,4,960.396,401.094,1000.19,400.586,997.809,432.096,958.52,433.322,0.750309375,0.442925,0.7813984375,0.4436305556,0.7795382813,0.3998666667,0.74884375,0.3981638889
36,1,451.762,157.587,492.947,153.375,493.121,185.946,453.051,189.411,0.3529390625,0.7811291667,0.3851148438,0.7869791667,0.3852507813,0.7417416667,0.3539460938,0.7369291667
36,2,959.221,144.424,999.322,147.372,1001.61,179.819,960.961,177.586,0.7493914063,0.7994111111,0.7807203125,0.7953166667,0.7825078125,0.7502513889,0.7507507813,0.7533527778
36,3,463.052,401.663,503.318,402.154,505.537,433.438,466.026,432.789,0.361759375,0.4421347222,0.3932171875,0.4414527778,0.3949507813,0.3980027778,0.3640828125,0.3989041667
36,4,960.577,401.329,1000.43,400.767,998.185,432.87,959.007,433.278,0.7504507813,0.4425986111,0.7815859375,0.4433791667,0.7798320313,0.3987916667,0.7492242188,0.398225
37,1,453,157.3,492.885,153.686,494.199,185.836,453,189.454,0.35390625,0.7815277778,0.3850664063,0.7865472222,0.3860929688,0.7418944444,0.35390625,0.7368694444
37,2,959.415,144.425,999.635,147.534,1001.88,180.071,961.352,177.622,0.7495429688,0.7994097222,0.7809648438,0.7950916667,0.78271875,0.7499013889,0.75105625,0.7533027778
37,3,463.492,401.562,503.533,402.211,505.879,433.273,466.181,432.867,0.362103125,0.442275,0.3933851563,0.4413736111,0.3952179688,0.3982319444,0.3642039063,0.3987958333
