Frame No.,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
24,2,942.852,102.716,983.745,106.015,986.668,138.527,945.419,135.99,0.736603125,0.857338889,0.768550781,0.852756944,0.770834375,0.807601389,0.738608594,0.811125
24,3,446.65,369.574,486.727,368.719,489.705,401.044,449.765,400.905,0.348945313,0.486702778,0.380255469,0.487890278,0.382582031,0.442994444,0.351378906,0.4431875
24,4,949.249,361.157,989.565,360.637,987.852,392.756,947.893,393.622,0.741600781,0.498393056,0.773097656,0.499115278,0.771759375,0.454505556,0.740541406,0.453302778
25,1,431.029,125.163,471.901,119.588,472.235,151.815,432.286,156.353,0.336741406,0.8261625,0.368672656,0.833905556,0.368933594,0.789145833,0.337723438,0.782843056
25,2,943.01,102.576,983.911,105.789,986.701,138.278,945.409,135.702,0.736726563,0.857533333,0.768680469,0.853070833,0.770860156,0.807947222,0.738600781,0.811525
25,3,446.654,369.091,486.634,368.806,489.606,400.454,449.696,399.877,0.348948438,0.487373611,0.380182813,0.487769444,0.382504688,0.443813889,0.351325,0.444615278
25,4,949.129,361.079,989.434,360.82,988.037,392.843,947.726,393.373,0.741507031,0.498501389,0.772995313,0.498861111,0.771903906,0.454384722,0.740410938,0.453648611
26,1,431.022,124.983,471.856,119.384,472.344,151.803,432.286,156.353,0.336735938,0.8264125,0.3686375,0.834188889,0.36901875,0.7891625,0.337723438,0.782843056
26,2,942.987,102.771,983.841,105.893,986.71,138.17,945.613,136.137,0.736708594,0.8572625,0.768625781,0.852926389,0.770867188,0.808097222,0.738760156,0.810920833
26,4,949.013,361.08,989.407,360.82,987.754,392.694,947.576,393.912,0.741416406,0.4985,0.772974219,0.498861111,0.771682813,0.454591667,0.74029375,0.4529
27,1,431.355,124.633,471.885,119.302,472.327,151.471,431.962,156.493,0.336996094,0.826898611,0.368660156,0.834302778,0.369005469,0.789623611,0.337470313,0.782648611
27,2,942.965,102.865,983.978,105.987,986.58,138.164,945.752,136.144,0.736691406,0.857131944,0.768732813,0.852795833,0.770765625,0.808105556,0.73886875,0.810911111
27,3,446.329,368.992,486.484,368.859,488.964,399.833,449.404,400.076,0.348694531,0.487511111,0.380065625,0.487695833,0.382003125,0.444676389,0.351096875,0.444338889
27,4,948.566,360.944,989.169,360.959,987.723,392.753,947.619,393.752,0.741067188,0.498688889,0.772788281,0.498668056,0.771658594,0.454509722,0.740327344,0.453122222
28,1,430.675,124.338,471.848,119.059,472.358,151.046,432.104,155.92,0.336464844,0.827308333,0.36863125,0.834640278,0.369029688,0.790213889,0.33758125,0.783444444
28,2,942.925,102.557,983.733,105.615,986.571,138.011,945.431,135.732,0.736660156,0.857559722,0.768541406,0.8533125,0.770758594,0.808318056,0.738617969,0.811483333
28,3,445.892,368.384,486.02,368.007,488.752,399.814,449.109,400.011,0.348353125,0.488355556,0.379703125,0.488879167,0.3818375,0.444702778,0.350866406,0.444429167
28,4,948.23,360.853,988.915,360.654,987.465,392.312,947.435,393.374,0.740804688,0.498815278,0.772589844,0.499091667,0.771457031,0.455122222,0.740183594,0.453647222
29,1,430.869,124.016,471.099,118.444,472.342,150.793,431.281,155.543,0.336616406,0.827755556,0.368046094,0.835494444,0.369017188,0.790565278,0.336938281,0.783968056
29,2,942.565,102.332,983.474,105.432,986.401,137.867,944.941,135.538,0.736378906,0.857872222,0.768339063,0.853566667,0.770625781,0.808518056,0.738235156,0.811752778
29,3,445.74,368.688,484.824,368.299,490.767,399.175,448.327,398.912,0.348234375,0.487933333,0.37876875,0.488473611,0.383411719,0.445590278,0.350255469,0.445955556
29,4,948.329,360.763,988.62,360.699,986.997,392.014,947,393.352,0.740882031,0.498940278,0.772359375,0.499029167,0.771091406,0.455536111,0.73984375,0.453677778
30,1,430.25,123.76,470.696,118.208,471.735,150.584,431.264,155.188,0.336132813,0.828111111,0.36773125,0.835822222,0.368542969,0.790855556,0.336925,0.784461111
30,2,942.562,102.253,983.365,105.196,985.683,137.904,944.538,134.896,0.736376563,0.857981944,0.768253906,0.853894444,0.770064844,0.808466667,0.737920313,0.812644444
30,3,445.081,368.236,485.384,367.253,487.968,399,448.133,399,0.347719531,0.488561111,0.37920625,0.489926389,0.381225,0.445833333,0.350103906,0.445833333
30,4,948.206,360.077,988.205,359.818,986.755,391.727,946.558,393.176,0.740785938,0.499893056,0.772035156,0.500252778,0.770902344,0.455934722,0.739498438,0.453922222
31,1,429.812,123.608,470.336,117.981,471.208,150.349,430.421,155.078,0.335790625,0.828322222,0.36745,0.8361375,0.36813125,0.791181944,0.336266406,0.784613889
31,2,942.015,101.843,982.856,105.066,985.75,137.614,944.369,134.754,0.735949219,0.858551389,0.76785625,0.854075,0.770117188,0.808869444,0.737788281,0.812841667
31,3,444.7,367.97,484.823,366.921,487.504,399,447.653,399,0.347421875,0.488930556,0.378767969,0.4903875,0.3808625,0.445833333,0.349728906,0.445833333
31,4,947.973,360.116,987.824,359.72,986.671,391.661,946.312,393.039,0.740603906,0.499838889,0.7717375,0.500388889,0.770836719,0.456026389,0.73930625,0.4541125
32,1,429.452,123.481,469.943,117.989,470.367,150.504,430.191,155.075,0.335509375,0.828498611,0.367142969,0.836126389,0.367474219,0.790966667,0.336086719,0.784618056
32,2,941.385,101.752,982.703,104.805,984.949,137.489,943.999,134.605,0.735457031,0.858677778,0.767736719,0.8544375,0.769491406,0.809043056,0.737499219,0.813048611
32,3,444.03,368.415,484.11,366.757,487.012,399,447.2,399,0.346898438,0.4883125,0.378210938,0.490615278,0.380478125,0.445833333,0.349375,0.445833333
32,4,947.323,360.186,987.6,359.555,985.784,391.708,945.877,392.71,0.740096094,0.499741667,0.7715625,0.500618056,0.77014375,0.455961111,0.738966406,0.454569444
33,1,428.899,123.573,468.686,118.06,470.3,150.266,429.218,155.246,0.335077344,0.828370833,0.366160938,0.836027778,0.367421875,0.791297222,0.335326563,0.784380556
33,2,940.493,101.427,981.962,104.391,984.438,136.882,943.459,134.385,0.734760156,0.859129167,0.767157813,0.8550125,0.769092188,0.809886111,0.737077344,0.813354167
33,3,443.585,368.255,483.534,367.128,486.444,399,446.506,399,0.346550781,0.488534722,0.377760938,0.4901,0.380034375,0.445833333,0.348832813,0.445833333
33,4,946.29,359.373,987.063,358.854,985.65,390.978,945.406,392.422,0.739289063,0.500870833,0.771142969,0.501591667,0.770039063,0.456975,0.738598438,0.454969444
34,1,427.773,123.326,468.943,117.911,469.126,150.123,429.073,154.975,0.334197656,0.828713889,0.366361719,0.836234722,0.366504688,0.791495833,0.335213281,0.784756944
34,2,940.326,101.212,981.489,104.188,984.105,136.795,942.888,134.016,0.734629688,0.859427778,0.766788281,0.855294444,0.768832031,0.810006944,0.73663125,0.813866667
34,3,443.196,367.419,483.424,366.816,486.023,399.091,446.197,398.952,0.346246875,0.489695833,0.377675,0.490533333,0.379705469,0.445706944,0.348591406,0.4459
34,4,946.246,359,986.949,359,985.33,390.661,945.118,392.104,0.739254688,0.501388889,0.771053906,0.501388889,0.769789063,0.457415278,0.738373438,0.455411111
35,1,428.011,122.812,468.831,117.209,469.424,149.487,428.933,154.255,0.334383594,0.829427778,0.366274219,0.837209722,0.3667375,0.792379167,0.335103906,0.785756944
35,2,940.548,100.679,981.492,103.511,984.4,136.265,942.674,133.475,0.734803125,0.860168056,0.766790625,0.856234722,0.7690625,0.810743056,0.736464063,0.814618056
35,3,443.453,367.172,483.464,366.321,486.587,397.863,446.67,398.142,0.346447656,0.490038889,0.37770625,0.491220833,0.380146094,0.4474125,0.348960938,0.447025
35,4,946.32,359.036,987.222,358.708,985.722,390.817,945.677,391.089,0.7393125,0.501338889,0.771267188,0.501794444,0.770095313,0.457198611,0.738810156,0.456820833
36,1,428.726,121.485,469.742,116.183,470.205,148.39,429.822,153.105,0.334942188,0.831270833,0.366985938,0.838634722,0.367347656,0.793902778,0.335798438,0.787354167
36,2,941.285,99.687,982.667,102.96,985.126,135.508,943.747,132.722,0.735378906,0.861545833,0.767708594,0.857,0.769629688,0.811794444,0.737302344,0.815663889
36,3,443.81,365.685,483.99,364.871,486.904,397.092,447.264,396.947,0.346726563,0.492104167,0.378117188,0.493234722,0.38039375,0.448483333,0.349425,0.448684722
