FrameNo,Marker,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
25,3,402.999,410.508,449.096,409.868,451.944,445,406.381,445,0.3148429688,0.42985,0.35085625,0.4307388889,0.35308125,0.3819444444,0.3174851563,0.3819444444
25,4,934.047,394.715,972.021,392.878,969.613,424.755,931.337,427.406,0.7297242188,0.4517847222,0.7593914063,0.4543361111,0.7575101563,0.4100625,0.7276070313,0.4063805556
26,1,393.148,136.951,440,132.366,440,168.634,392.705,172.431,0.307146875,0.8097902778,0.34375,0.8161583333,0.34375,0.7657861111,0.3068007813,0.7605125
26,2,936.006,134.895,974.913,139.06,976.341,171.918,937.399,168.521,0.7312546875,0.8126458333,0.7616507813,0.8068611111,0.7627664063,0.761225,0.7323429688,0.7659430556
26,3,403.178,411.077,449.263,409.761,451.879,445,406.324,445,0.3149828125,0.4290597222,0.3509867188,0.4308875,0.3530304688,0.3819444444,0.317440625,0.3819444444
26,4,933.769,394.721,972.157,392.879,969.586,424.801,931.613,427.46,0.7295070313,0.4517763889,0.7594976563,0.4543347222,0.7574890625,0.4099986111,0.7278226563,0.4063055556
27,1,393.097,136.778,440,132.412,440,168.634,392.801,172.423,0.3071070313,0.8100305556,0.34375,0.8160944444,0.34375,0.7657861111,0.3068757813,0.7605236111
27,2,936.327,135.015,975.151,139.043,976.348,172.189,937.618,168.543,0.7315054688,0.8124791667,0.7618367188,0.8068847222,0.762771875,0.7608486111,0.7325140625,0.7659125
27,3,403.231,410.455,449.48,409.84,451.833,445,406.376,445,0.3150242188,0.4299236111,0.35115625,0.4307777778,0.3529945313,0.3819444444,0.31748125,0.3819444444
27,4,934.416,395.23,972.251,392.987,969.603,425.014,931.727,427.544,0.7300125,0.4510694444,0.7595710938,0.4541847222,0.7575023438,0.4097027778,0.7279117188,0.4061888889
28,1,393,136.738,440,132.418,440,168.553,393,172.423,0.30703125,0.8100861111,0.34375,0.8160861111,0.34375,0.7658986111,0.30703125,0.7605236111
28,2,936.348,135.003,975.168,139.373,976.658,172.134,938.286,168.747,0.731521875,0.8124958333,0.76185,0.8064263889,0.7630140625,0.760925,0.7330359375,0.7656291667
28,3,403.458,410.715,449.542,409.701,451.965,445.026,406.484,444.886,0.3152015625,0.4295625,0.3512046875,0.4309708333,0.3530976563,0.3819083333,0.317565625,0.3821027778
28,4,934.362,395.303,972.557,393.316,969.698,425.01,932.004,427.823,0.7299703125,0.4509680556,0.7598101563,0.4537277778,0.7575765625,0.4097083333,0.728128125,0.4058013889
29,1,393.051,136.734,440.109,132.408,439.946,168.569,392.899,172.402,0.3070710938,0.8100916667,0.3438351563,0.8161,0.3437078125,0.7658763889,0.3069523438,0.7605527778
29,2,936.308,135.304,975.382,139.385,976.49,172.2,938.396,168.711,0.731490625,0.8120777778,0.7620171875,0.8064097222,0.7628828125,0.7608333333,0.733121875,0.7656791667
29,3,403.264,410.137,449.482,409.816,451.946,445,406.572,445,0.31505,0.4303652778,0.3511578125,0.4308111111,0.3530828125,0.3819444444,0.317634375,0.3819444444
29,4,934.417,395.283,972.278,393.369,969.732,425.072,932.018,427.754,0.7300132813,0.4509958333,0.7595921875,0.4536541667,0.757603125,0.4096222222,0.7281390625,0.4058972222
30,1,393.051,136.721,440.11,132.336,439.947,168.519,392.899,172.411,0.3070710938,0.8101097222,0.3438359375,0.8162,0.3437085938,0.7659458333,0.3069523438,0.7605402778
30,2,936.587,135.422,975.214,139.324,976.544,172.195,938.195,168.717,0.7317085938,0.8119138889,0.7618859375,0.8064944444,0.762925,0.7608402778,0.7329648438,0.7656708333
30,3,403.379,410.344,449.483,409.816,451.947,445.01,406.425,444.946,0.3151398438,0.4300777778,0.3511585938,0.4308111111,0.3530835938,0.3819305556,0.3175195313,0.3820194444
30,4,934.398,395.284,972.278,393.369,969.729,425.109,931.852,427.836,0.7299984375,0.4509944444,0.7595921875,0.4536541667,0.7576007813,0.4095708333,0.728009375,0.4057833333
31,1,393.051,136.691,440.109,132.365,439.947,168.499,392.899,172.388,0.3070710938,0.8101513889,0.3438351563,0.8161597222,0.3437085938,0.7659736111,0.3069523438,0.7605722222
31,2,936.301,135.193,975.173,139.482,976.66,172.196,938.4,168.789,0.7314851563,0.8122319444,0.7618539063,0.806275,0.763015625,0.7608388889,0.733125,0.7655708333
31,3,403.339,411.067,448.658,409.741,452.159,445.024,406.314,444.886,0.3151085938,0.4290736111,0.3505140625,0.4309152778,0.3532492188,0.3819111111,0.3174328125,0.3821027778
31,4,934.346,395.355,972.145,393.465,969.606,425.082,931.711,427.939,0.7299578125,0.4508958333,0.7594882813,0.4535208333,0.7575046875,0.4096083333,0.7278992188,0.4056402778
32,1,393.141,136.666,440,132.446,440,168.407,392.708,172.409,0.3071414063,0.8101861111,0.34375,0.8160472222,0.34375,0.7661013889,0.306803125,0.7605430556
