Frame,,Top Left,,Top Right,,Bottom right,,Bottom Left,,Top Left,,Top Right,,Bottom right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
29,1,379.058,153.786,425.793,148.847,425.991,185.102,378.889,189.325,0.2961390625,0.7864083333,0.3326507813,0.7932680556,0.3328054688,0.7429138889,0.2960070313,0.7370486111
29,2,921.786,144.709,961.178,148.25,962.908,181.272,924.313,178.467,0.7201453125,0.7990152778,0.7509203125,0.7940972222,0.752271875,0.7482333333,0.7221195313,0.7521291667
29,3,392.161,427.112,437.682,426.75,441.007,461.055,395.466,461.075,0.3063757813,0.4067888889,0.3419390625,0.4072916667,0.3445367188,0.3596458333,0.3089578125,0.3596180556
29,4,922.876,405.522,961.106,402.857,959.12,434.535,921.144,438.113,0.720996875,0.436775,0.7508640625,0.4404763889,0.7493125,0.3964791667,0.71964375,0.3915097222
30,1,379,153.522,426,148.957,426,184.926,379,189.382,0.29609375,0.786775,0.3328125,0.7931152778,0.3328125,0.7431583333,0.29609375,0.7369694444
30,2,922.347,144.786,961.281,148.23,963.22,181.285,924.263,178.525,0.7205835938,0.7989083333,0.7510007813,0.794125,0.752515625,0.7482152778,0.7220804688,0.7520486111
30,3,392.059,427.102,437.803,426.761,441.058,461.12,395.727,461.005,0.3062960938,0.4068027778,0.3420335938,0.4072763889,0.3445765625,0.3595555556,0.3091617188,0.3597152778
30,4,922.829,405.453,961.195,402.761,959.33,434.622,921.315,438.041,0.7209601563,0.4368708333,0.7509335938,0.4406097222,0.7494765625,0.3963583333,0.7197773438,0.3916097222
31,1,379,153.574,426,148.861,426,184.926,379,189.382,0.29609375,0.7867027778,0.3328125,0.7932486111,0.3328125,0.7431583333,0.29609375,0.7369694444
31,2,922.755,144.756,961.519,148.216,963.273,181.3,924.226,178.44,0.7209023438,0.79895,0.7511867188,0.7941444444,0.7525570313,0.7481944444,0.7220515625,0.7521666667
31,3,392.276,427.169,438.079,426.613,441.265,461.082,396.039,460.957,0.306465625,0.4067097222,0.3422492188,0.4074819444,0.3447382813,0.3596083333,0.3094054688,0.3597819444
31,4,923.067,405.446,961.343,402.807,959.622,434.43,921.26,438.087,0.7211460938,0.4368805556,0.7510492188,0.4405458333,0.7497046875,0.396625,0.719734375,0.3915458333
32,1,379,153.603,426,148.788,426,184.846,379,189.335,0.29609375,0.7866625,0.3328125,0.79335,0.3328125,0.7432694444,0.29609375,0.7370347222
32,2,922.65,144.603,961.686,148.23,963.457,181.246,924.256,178.411,0.7208203125,0.7991625,0.7513171875,0.794125,0.7527007813,0.7482694444,0.722075,0.7522069444
32,3,392.584,427.22,438.52,426.769,441.214,461.082,396.095,460.957,0.30670625,0.4066388889,0.34259375,0.4072652778,0.3446984375,0.3596083333,0.3094492188,0.3597819444
32,4,923.194,405.455,961.51,402.647,959.57,434.524,921.392,437.953,0.7212453125,0.4368680556,0.7511796875,0.4407680556,0.7496640625,0.3964944444,0.7198375,0.3917319444
33,1,378.986,153.55,426.11,148.568,425.938,184.778,379.235,189.273,0.2960828125,0.7867361111,0.3328984375,0.7936555556,0.3327640625,0.7433638889,0.2962773438,0.7371208333
33,2,923.05,144.588,961.623,148.118,963.466,180.933,924.29,178.438,0.7211328125,0.7991833333,0.7512679688,0.7942805556,0.7527078125,0.7487041667,0.7221015625,0.7521694444
33,3,392.54,426.925,438.273,426.861,441.494,461.083,396.191,460.957,0.306671875,0.4070486111,0.3424007813,0.4071375,0.3449171875,0.3596069444,0.3095242188,0.3597819444
33,4,923.336,405.194,961.621,402.609,959.624,434.471,921.475,437.836,0.72135625,0.4372305556,0.7512664063,0.4408208333,0.74970625,0.3965680556,0.7199023438,0.3918944444
