timestamp	index	confidence	norm_pos_x	norm_pos_y	base_data	gaze_point_3d_x	gaze_point_3d_y	gaze_point_3d_z	eye_center0_3d_x	eye_center0_3d_y	eye_center0_3d_z	gaze_normal0_x	gaze_normal0_y	gaze_normal0_z	eye_center1_3d_x	eye_center1_3d_y	eye_center1_3d_z	gaze_normal1_x	gaze_normal1_y	gaze_normal1_z
4317.938212	22	1	0.444960311	0.545457035	4317.933911656618-0 4317.942513099212-1	-10.14488248	-5.329960433	92.42096996	23.05290326	11.46398964	-20.22376827	-0.281049453	-0.170538184	0.944419363	-39.91620857	13.64174031	-15.92077896	0.262484026	-0.137388679	0.955105485
4317.942156	22	1	0.446222613	0.549014443	4317.941798412869-0 4317.942513099212-1	-10.01401017	-5.656594403	92.89222023	23.05290326	11.46398964	-20.22376827	-0.278956988	-0.174787342	0.944262879	-39.91620857	13.64174031	-15.92077896	0.262484026	-0.137388679	0.955105485
4317.948227	22	1	0.447965008	0.553483824	4317.953941590429-0 4317.942513099212-1	-9.831136492	-6.075501383	93.55040393	23.05290326	11.46398964	-20.22376827	-0.27605575	-0.180040008	0.944128603	-39.91620857	13.64174031	-15.92077896	0.262484026	-0.137388679	0.955105485
4317.954278	22	1	0.448259539	0.555109355	4317.953941590429-0 4317.954613410686-1	-9.75714067	-6.193570324	93.24877512	23.05290326	11.46398964	-20.22376827	-0.27605575	-0.180040008	0.944128603	-39.91620857	13.64174031	-15.92077896	0.263640414	-0.140139591	0.954387043
4317.960247	22	1	0.450370618	0.559855982	4317.96588100314-0 4317.954613410686-1	-9.532213542	-6.651453948	94.05391452	23.05290326	11.46398964	-20.22376827	-0.272523454	-0.185474357	0.944102871	-39.91620857	13.64174031	-15.92077896	0.263640414	-0.140139591	0.954387043
4317.966243	22	1	0.450676459	0.562158278	4317.96588100314-0 4317.966605953194-1	-9.454330167	-6.823786844	93.71687562	23.05290326	11.46398964	-20.22376827	-0.272523454	-0.185474357	0.944102871	-39.91620857	13.64174031	-15.92077896	0.264859225	-0.143890086	0.953491077
4317.972633	23	1	0.45332141	0.567996527	4317.978660832653-0 4317.966605953194-1	-9.167415387	-7.399271239	94.73621827	23.05290326	11.46398964	-20.22376827	-0.268077479	-0.192148918	0.94404092	-39.91620857	13.64174031	-15.92077896	0.264859225	-0.143890086	0.953491077
4317.979008	23	1	0.453770672	0.570321804	4317.978660832653-0 4317.979355595323-1	-9.057793109	-7.562656043	94.27575648	23.05290326	11.46398964	-20.22376827	-0.268077479	-0.192148918	0.94404092	-39.91620857	13.64174031	-15.92077896	0.266587453	-0.147828568	0.952406344
4317.984675	23	1	0.456615212	0.576119022	4317.989994686417-0 4317.979355595323-1	-8.742643354	-8.153030258	95.38578554	23.05290326	11.46398964	-20.22376827	-0.263267551	-0.198671248	0.944044454	-39.91620857	13.64174031	-15.92077896	0.266587453	-0.147828568	0.952406344
4317.988314	23	0.99	0.457445167	0.57997257	4317.989994686417-0 4317.986634075762-1	-8.54521082	-8.412985049	94.54747164	23.05290326	11.46398964	-20.22376827	-0.263267551	-0.198671248	0.944044454	-39.91620857	13.64174031	-15.92077896	0.269727851	-0.154417823	0.95047463
